Date,Net Amount,Store Ticket Count
2018-10-11,4760,56
2018-10-12,5124,53
2018-10-13,6552,67
2018-10-14,6493,44
2018-10-15,2703,29
2018-10-16,6061,49
2018-10-17,4639,45
2018-10-18,4311,45
2018-10-19,3564,45
2018-10-20,11589,90
2018-10-21,6077,64
2018-10-22,9478,77
2018-10-23,5339,61
2018-10-24,1967,35
2018-10-25,4055,42
2018-10-26,7042,81
2018-10-27,8089,78
2018-10-28,7006,69
2018-10-29,10999,77
2018-10-30,5250,60
2018-10-31,2516,46
2018-11-01,4894,56
2018-11-02,6174,66
2018-11-03,12235,78
2018-11-04,3150,52
2018-11-05,4554,59
2018-11-06,7985,47
2018-11-07,5450,46
2018-11-08,5025,48
2018-11-09,8569,71
2018-11-10,9295,93
2018-11-11,4750,48
2018-11-12,5596,51
2018-11-13,3252,39
2018-11-14,5220,61
2018-11-15,3858,52
2018-11-16,7019,82
2018-11-17,12833,90
2018-11-18,3044,41
2018-11-19,7249,76
2018-11-20,7614,79
2018-11-21,9448,77
2018-11-23,4869,66
2018-11-24,7623,73
2018-11-25,3923,55
2018-11-26,4524,56
2018-11-27,4087,53
2018-11-28,3133,51
2018-11-29,6101,55
2018-11-30,5621,81
2018-12-01,11910,93
2018-12-02,3015,49
2018-12-03,6045,40
2018-12-04,5740,61
2018-12-05,5180,54
2018-12-06,4077,48
2018-12-07,6215,63
2018-12-08,4790,51
2018-12-09,4463,35
2018-12-10,5129,63
2018-12-11,4979,53
2018-12-12,6740,53
2018-12-13,4200,51
2018-12-14,7583,75
2018-12-15,8552,84
2018-12-16,5432,52
2018-12-17,5078,69
2018-12-18,4197,51
2018-12-19,3903,53
2018-12-20,12392,64
2018-12-21,11924,87
2018-12-22,8199,66
2018-12-23,1152,24
2018-12-24,1986,32
2018-12-26,2808,55
2018-12-27,8208,77
2018-12-28,6564,90
2018-12-29,7791,74
2018-12-30,5011,53
2018-12-31,4730,63
2019-01-02,3604,50
2019-01-03,5137,50
2019-01-04,8838,85
2019-01-05,9286,82
2019-01-06,4279,52
2019-01-07,4708,75
2019-01-08,4204,66
2019-01-09,7165,59
2019-01-10,8869,71
2019-01-11,6136,60
2019-01-12,11674,81
2019-01-13,2823,33
2019-01-14,6777,53
2019-01-15,3701,36
2019-01-16,4857,52
2019-01-17,6906,56
2019-01-18,7996,70
2019-01-19,8022,75
2019-01-20,3449,38
2019-01-21,4264,49
2019-01-22,6555,48
2019-01-23,4102,45
2019-01-24,5361,57
2019-01-25,5144,66
2019-01-26,9521,93
2019-01-27,5973,54
2019-01-28,4271,56
2019-01-29,3407,54
2019-01-30,5062,50
2019-01-31,6654,48
2019-02-01,3917,53
2019-02-02,8078,90
2019-02-03,4096,50
2019-02-04,3714,54
2019-02-05,6907,54
2019-02-06,5729,47
2019-02-07,7322,50
2019-02-08,9985,68
2019-02-09,11331,83
2019-02-10,8683,47
2019-02-11,4947,48
2019-02-12,4454,59
2019-02-13,10818,60
2019-02-14,5840,53
2019-02-15,6140,78
2019-02-16,10757,78
2019-02-17,4234,62
2019-02-18,8192,71
2019-02-19,5154,38
2019-02-20,4775,61
2019-02-21,6780,45
2019-02-22,7007,64
2019-02-23,7932,95
2019-02-24,3615,61
2019-02-25,8350,71
2019-02-26,6071,64
2019-02-27,4578,63
2019-02-28,5367,54
2019-03-01,6616,62
2019-03-02,14071,88
2019-03-03,6141,56
2019-03-04,7208,50
2019-03-05,4799,62
2019-03-06,4605,57
2019-03-07,7549,69
2019-03-08,11563,88
2019-03-09,12672,102
2019-03-10,5968,54
2019-03-11,9222,81
2019-03-12,4099,54
2019-03-13,8913,68
2019-03-14,8218,75
2019-03-15,9955,94
2019-03-16,13212,86
2019-03-17,5221,64
2019-03-18,5350,69
2019-03-19,4487,57
2019-03-20,4946,58
2019-03-21,3066,39
2019-03-22,4005,59
2019-03-23,5275,50
2019-03-24,4201,33
2019-03-25,3928,49
2019-03-26,8045,54
2019-03-27,5988,54
2019-03-28,3201,55
2019-03-29,7539,71
2019-03-30,9330,88
2019-03-31,5765,57
2019-04-01,5184,76
2019-04-02,9162,56
2019-04-03,6566,55
2019-04-04,6612,66
2019-04-05,7078,78
2019-04-06,5976,68
2019-04-07,3622,52
2019-04-08,5855,60
2019-04-09,4251,55
2019-04-10,3961,42
2019-04-11,6981,62
2019-04-12,3712,45
2019-04-13,5462,56
2019-04-14,4213,59
2019-04-15,5194,61
2019-04-16,6636,54
2019-04-17,6246,35
2019-04-18,3327,49
2019-04-19,7481,90
2019-04-20,8396,77
2019-04-22,7289,64
2019-04-23,8199,60
2019-04-24,3122,32
2019-04-25,6139,51
2019-04-26,5441,73
2019-04-27,11209,81
2019-04-28,3449,51
2019-04-29,9978,80
2019-04-30,4327,55
2019-05-01,7114,59
2019-05-02,6807,53
2019-05-03,6706,67
2019-05-04,7899,76
2019-05-05,3995,42
2019-05-06,5841,69
2019-05-07,3386,54
2019-05-08,5715,34
2019-05-09,3320,45
2019-05-10,5407,45
2019-05-11,4862,60
2019-05-12,2386,34
2019-05-13,4339,67
2019-05-14,7675,72
2019-05-15,3548,54
2019-05-16,3791,53
2019-05-17,9841,83
2019-05-18,6190,45
2019-05-19,4025,55
2019-05-20,5544,66
2019-05-21,4722,56
2019-05-22,7398,62
2019-05-23,6459,69
2019-05-24,8521,77
2019-05-25,8471,69
2019-05-26,3172,40
2019-05-27,5033,57
2019-05-28,4332,71
2019-05-29,4891,51
2019-05-30,6672,72
2019-05-31,7016,90
2019-06-01,8984,77
2019-06-02,4174,50
2019-06-03,6395,74
2019-06-04,8369,66
2019-06-05,5430,59
2019-06-06,4423,58
2019-06-07,9241,85
2019-06-08,5991,63
2019-06-09,3446,45
2019-06-10,7431,79
2019-06-11,4932,52
2019-06-12,3659,44
2019-06-13,4223,58
2019-06-14,7439,81
2019-06-15,7610,84
2019-06-16,2244,35
2019-06-17,4607,56
