,Net Sales,Car Count,Ticket Avg,COGS %,Labor %
297,7241.91,84.0,83.2403,0.238247,0.24084499999999998
298,25912.08,319.0,75.1075,0.202916,0.25474
299,23708.09,268.0,82.3198,0.198081,0.24728699999999998
300,21305.87,240.0,84.2129,0.21046399999999998,0.24549899999999997
301,26427.78,341.0,74.0274,0.180168,0.24200700000000003
302,35403.02,453.0,75.8095,0.183829,0.222038
303,33951.41,412.0,79.5115,0.200653,0.252886
304,13354.46,109.0,118.1811,0.18324300000000002,0.154885
305,28434.02,407.0,67.7,0.196306,0.253327
306,31814.42,360.0,84.6128,0.198427,0.208858
307,23033.17,285.0,77.2925,0.16758699999999999,0.24560300000000002
308,28348.21,379.0,72.3169,0.20048,0.21632800000000002
309,32688.41,367.0,86.0221,0.21775500000000003,0.239065
310,30651.0,377.0,79.2016,0.211667,0.242948
311,9436.26,68.0,131.0592,0.169287,0.226554
312,27229.67,320.0,82.0171,0.213216,0.240377
313,24189.01,293.0,80.0961,0.189427,0.24306799999999998
314,24138.35,271.0,84.9942,0.22046500000000002,0.24037399999999998
315,26156.3,304.0,83.3003,0.17881,0.24156100000000003
316,36654.29,358.0,98.2689,0.21344200000000002,0.210169
