Date,Cost of Goods Sold Amount,Net Sales Amount,Store Ticket Count,Ticket Average Net,Cost of Goods as a Percent of Net Sales,Labor Percent of Net Sales
,760.97,3125.7,41.0,76.2366,0.243456,0.239981
,3316.82,16322.85,203.0,75.5688,0.203201,0.259296
,4436.44,19672.53,203.0,90.6568,0.225514,0.231668
,3687.1,15475.23,154.0,94.3612,0.238258,0.290935
,3518.5,16706.18,177.0,89.3379,0.210611,0.288032
,4200.06,19681.74,214.0,89.871,0.213399,0.263709
,4092.51,18862.28,208.0,86.9229,0.216968,0.217828
,825.21,3655.65,44.0,77.7798,0.225736,0.224855
,2245.58,11193.06,188.0,58.2972,0.200623,0.316204
,2801.28,13940.59,208.0,65.1429,0.200944,0.30272
,2847.67,14971.4,193.0,74.4846,0.190207,0.295926
,3049.4,13883.81,182.0,73.0727,0.219637,0.26874
,4010.32,16607.13,179.0,89.7683,0.241482,0.258004
,3194.61,15074.79,182.0,78.5145,0.211917,0.257804
,527.65,2331.54,33.0,66.6154,0.22631,0.326998
,2800.84,13908.55,192.0,70.2452,0.201375,0.259243
,3577.09,14532.61,198.0,70.2058,0.246142,0.285351
,2868.51,13680.05,203.0,63.6281,0.209686,0.299872
,2886.03,13716.41,204.0,63.7973,0.210407,0.295152
,4138.97,21083.77,264.0,78.9654,0.196311,0.231775
,4558.22,19748.11,225.0,85.1212,0.230818,0.23422
,3629.89,17716.93,216.0,77.7058,0.204883,0.236871
,3619.72,17617.48,185.0,91.7577,0.205462,0.257371
,4199.74,19506.51,252.0,73.8883,0.215299,0.239874
,4137.22,19803.55,245.0,76.7579,0.208913,0.237963
,4726.81,21013.98,242.0,84.7338,0.224936,0.223763
,5895.03,25830.24,295.0,83.0554,0.228222,0.186993
,176.1,1309.43,17.0,72.7461,0.134486,0.294663
